tx,ty,tz,rx,ry,rz,,
0.395646,0.395646,0.395646,0.0248642,114.851,114.851,,
4.73602,4.73602,4.73602,0.566459,106.457,106.454,,
0.388036,0.388036,0.388036,0.0252033,95.0432,95.0432,,
0.394344,0.394344,0.394344,0.0466504,84.814,84.8139,,
0.415114,0.415114,0.415114,0.10508,74.8382,74.8381,,
0.402936,0.402936,0.402936,0.0869873,65.3272,65.3272,,
0.388791,0.388791,0.388791,0.0701481,55.6628,55.6628,,
0.450133,0.450133,0.450133,0.281534,46.2765,46.2756,,
0.401123,0.401123,0.401123,0.14851,37.0219,37.0216,,
0.387637,0.387637,0.387637,0.12995,27.8405,27.8402,,  
0.405895,0.405895,0.405895,0.172183,18.6926,18.6917,,
0.395951,0.395951,0.395951,0.448523,9.78129,9.77095,,
0.427109,0.427109,0.427109,0.115942,1.9898,1.98642,,
0.352976,0.352976,0.352976,0.864825,1.39889,1.39889,,
0.404547,0.404547,0.404547,0.153741,3.51959,3.51959,,
0.35099,0.35099,0.35099,0.325892,17.9257,17.9257,,
0.357815,0.357815,0.357815,0.226554,62.1794,62.1794,,
0.39002,0.39002,0.39002,0.0945923,76.785,76.785,,
0.391584,0.391584,0.391584,0.0733523,10.7529,9.42298,,
0.37158,0.37158,0.37158,0.108126,27.0646,26.3062,,
0.353265,0.353265,0.353265,0.136298,104.1591,104.11858,,
0.344818,0.344818,0.344818,0.143783,109.1545,109.1393,,
0.395511,0.395511,0.395511,0.0271891,96.9936,97.032,,
0.39749,0.39749,0.39749,0.0232452,124.5353,124.5734,,
0.344864,0.344864,0.344864,0.150367,115.64443,115.742,,
